"mydate","v1","v2","v3","v4","v5","v6","mys"
"2017/11/14(二)","05","15","24","25","44","47","45"
"2017/11/10(五)","10","15","24","26","29","35","12"
"2017/11/07(二)","05","06","12","22","30","48","41"
"2017/11/03(五)","08","20","23","33","36","43","02"
"2017/10/31(二)","04","25","31","36","39","46","02"
"2017/10/27(五)","02","11","17","22","38","40","41"
"2017/10/24(二)","02","03","05","14","16","29","32"
"2017/10/20(五)","03","08","18","19","26","42","17"
"2017/10/17(二)","01","03","06","11","19","27","05"
"2017/10/13(五)","05","08","23","34","44","46","16"
"2017/10/10(二)","06","28","29","30","31","39","33"
"2017/10/06(五)","04","28","32","37","41","45","47"
"2017/10/03(二)","15","18","25","30","33","44","38"
"2017/09/29(五)","03","14","16","21","33","36","20"
"2017/09/26(二)","10","11","14","19","22","38","42"
"2017/09/22(五)","18","35","39","43","47","49","44"
"2017/09/19(二)","02","12","15","18","37","40","39"
"2017/09/15(五)","03","08","11","16","33","37","35"
"2017/09/12(二)","07","23","29","36","45","49","14"
"2017/09/08(五)","08","13","15","19","29","42","25"
"2017/09/05(二)","13","17","23","27","33","41","02"
"2017/09/01(五)","05","11","14","16","36","40","46"
"2017/08/29(二)","05","18","25","31","48","49","44"
"2017/08/25(五)","01","04","19","24","28","31","49"
"2017/08/22(二)","04","10","13","36","44","45","05"
"2017/08/18(五)","07","10","12","35","38","47","23"
"2017/08/15(二)","13","16","27","28","33","42","11"
"2017/08/11(五)","02","08","09","18","27","37","33"
"2017/08/08(二)","06","09","23","27","34","46","20"
"2017/08/04(五)","15","16","26","27","39","45","37"
"2017/08/01(二)","02","12","21","30","42","47","31"
"2017/07/28(五)","11","13","18","22","38","39","03"
"2017/07/25(二)","02","11","23","30","33","42","07"
"2017/07/21(五)","02","12","24","32","42","47","29"
"2017/07/18(二)","13","14","21","29","42","48","11"
"2017/07/14(五)","16","18","19","25","26","32","22"
"2017/07/11(二)","06","16","19","23","33","39","07"
"2017/07/07(五)","18","30","40","42","44","49","08"
"2017/07/04(二)","04","21","27","28","30","35","42"
"2017/06/30(五)","08","12","22","30","32","36","06"
"2017/06/27(二)","11","33","34","46","47","49","38"
"2017/06/23(五)","02","08","12","34","41","42","07"
"2017/06/20(二)","01","12","29","30","33","44","19"
"2017/06/16(五)","01","15","21","26","36","45","10"
"2017/06/13(二)","02","04","17","22","36","43","40"
"2017/06/09(五)","24","26","31","32","37","46","01"
"2017/06/06(二)","14","16","25","32","36","48","12"
"2017/06/02(五)","03","07","08","23","30","31","32"
"2017/05/30(二)","07","14","19","30","31","39","40"
"2017/05/26(五)","08","14","16","19","21","35","20"
"2017/05/23(二)","02","10","15","22","26","32","42"
"2017/05/19(五)","15","16","21","23","28","46","14"
"2017/05/16(二)","05","06","07","14","29","46","24"
"2017/05/12(五)","02","09","18","22","25","35","14"
"2017/05/09(二)","16","17","20","21","32","40","15"
"2017/05/05(五)","01","09","18","19","34","49","11"
"2017/05/02(二)","14","23","24","27","36","39","13"
"2017/04/28(五)","01","03","19","31","32","42","43"
"2017/04/25(二)","16","17","30","32","35","41","26"
"2017/04/21(五)","05","15","22","23","28","39","25"
"2017/04/18(二)","14","21","25","35","36","39","18"
"2017/04/14(五)","02","03","04","23","29","42","14"
"2017/04/11(二)","09","22","31","36","40","47","08"
"2017/04/07(五)","19","23","31","32","37","49","26"
"2017/04/04(二)","05","17","33","34","43","44","04"
"2017/03/31(五)","17","18","22","24","25","38","39"
"2017/03/28(二)","21","22","32","37","42","44","38"
"2017/03/24(五)","24","36","39","41","45","49","22"
"2017/03/21(二)","08","16","27","32","43","44","07"
"2017/03/17(五)","04","17","25","36","40","44","08"
"2017/03/14(二)","15","17","20","32","33","39","21"
"2017/03/10(五)","11","12","21","35","41","48","01"
"2017/03/07(二)","06","12","22","31","41","44","02"
"2017/03/03(五)","02","16","20","37","43","48","10"
"2017/02/28(二)","06","14","15","19","30","43","31"
"2017/02/24(五)","12","16","35","38","41","47","01"
"2017/02/21(二)","08","10","15","32","39","48","43"
"2017/02/17(五)","06","16","21","23","46","49","39"
"2017/02/14(二)","10","11","21","23","28","37","24"
"2017/02/10(五)","07","11","12","15","24","26","06"
"2017/02/07(二)","06","18","19","23","32","49","21"
"2017/02/03(五)","02","11","25","29","30","33","20"
"2017/02/01(三)","04","09","11","32","43","47","44"
"2017/01/31(二)","04","11","16","28","33","46","17"
"2017/01/30(一)","10","19","26","29","43","45","20"
"2017/01/29(日)","03","08","09","12","14","22","46"
"2017/01/28(六)","01","19","20","25","30","32","02"
"2017/01/27(五)","01","05","07","31","35","49","42"
"2017/01/24(二)","01","09","17","31","33","48","49"
"2017/01/20(五)","01","05","16","18","31","41","13"
"2017/01/17(二)","04","12","17","28","34","40","07"
"2017/01/13(五)","14","19","21","25","27","38","22"
"2017/01/10(二)","04","13","14","37","39","46","31"
"2017/01/06(五)","12","14","32","35","40","43","17"
"2017/01/03(二)","18","22","41","42","47","49","45"
"2016/12/30(五)","06","07","35","37","38","47","12"
"2016/12/27(二)","10","25","26","29","31","40","02"
